"","lake","Collection Date","Depth","Chl-a (ug/L)","SRP (ug P/L)","Total Phosphorus (ug P/L)","Total Nitrogen (mg N/L)","NH4 (mg N/L)","NO3 + NO2 (mg N/L)","DIC (mg C/L)","DOC (mg C/L)","DSi (mg SiO2/L)","Cl- (mg/L)"
"1","McCarrons",2023-06-06,"Epi",0.421320213663199,1.1881,17.54,0.54640501497,0.029,0.0011,30.9031,6.4996,0.6235,139.09
"2","McCarrons",2023-06-06,"Hypo",NA,229.5924,335.8,2.67107007318,1.596,0.0022,44.6091,6.6509,8.3979,162.94
"3","Little Johanna",2023-06-06,"Epi",4.86583525442789,5.3943,43.909,0.73158168671,0.0838,0.013,21.8683,8.701,1.3135,468.36
"4","Little Johanna",2023-06-06,"Hypo",NA,4032.335,5839,26.3603007222,20.734,0.0033,77.2149,8.4447,12.9438,1256.5
"5","Tanners",2023-06-06,"Epi",4.19380826539218,2.7939,21.017,0.69325668566,0.0208,0.0055,30.6576,8.5599,0.6569,200.47
"6","Tanners",2023-06-06,"Hypo",NA,636.378,625.836,2.52981506931,0.617,0.0553,41.8577,9.6667,8.6906,332.44
"7","Phalen",2023-06-06,"Epi",4.49248692718583,2.8265,20.308,0.69508168571,0.0192,0.007,35.3914,8.1301,0.5482,198.32
"8","Phalen",2023-06-06,"Hypo",NA,192.52,166.623,1.14013836457,0.0318,0.0507,25.6985,8.8785,5.1652,186.54
"9","Cedar",2023-06-07,"Epi",2.8740444194546,0.6762,23.937,0.82210168919,0.0158,0.0069,25.3667,8.4406,0.5231,164.71
"10","Bde Maka Ska",2023-06-07,"Epi",0.928798425639584,1.05,14.27077039098,0.55589501523,0.0301,0.0492,28.8152,6.2893,0.2554,168.32
"11","Brownie",2023-06-07,"Epi",9.58711723362384,1.5744,40.27969777022,0.76345835425,0.0302,0.0931,29.7448,6.6919,2.6434,324.78
"12","Cedar",2023-06-07,"Hypo",NA,166.2587,241.573,2.51923006902,1.2452,-0.0014,37.0022,11.9399,4.5169,166.56
"13","Bde Maka Ska",2023-06-07,"Hypo",NA,130.1975,194.075,1.16118669848,0.4995,0.1257,34.1896,7.0827,2.0244,170.69
"14","Brownie",2023-06-07,"Hypo",NA,3742.311,3927.092,19.8304505433,19.236,0.0055,53.9236,9.0584,11.2166,1083.7
"15","Parkers",2023-06-08,"Epi",3.90007759347765,8.2772,24.09535399348,0.523166681,0.0169,-0.003,29.131,6.5959,0.7782,303.76
"16","Minnetonka",2023-06-08,"Epi",0.0800444194545966,2.0874,14.16102705464,0.6229333504,0.0139,-0.0036,25.5496,8.7183,0.4645,52.1
"17","Medicine",2023-06-08,"Epi",1.21901490019679,3.3948,NA,NA,0.021,-0.0024,54.6881,8.7566,2.3214,202.65
"18","Parkers",2023-06-08,"Hypo",NA,222.2372,NA,NA,1.0224,0.0025,54.2179,6.3805,13.7635,721
"19","Minnetonka",2023-06-08,"Hypo",NA,37.8025,NA,NA,0.2231,0.0663,33.0245,8.306,5.253,51.64
"20","Medicine",2023-06-08,"Hypo",NA,1007.136,NA,NA,1.6753,-0.0011,39.1608,10.388,1.142,495.24
"21","Snail",2023-06-13,"Hypo",NA,26.6772,NA,NA,0.1147,0.0024,26.2157,8.1918,0.6402,106.05
"22","Wabasso",2023-06-13,"Hypo",NA,119.327,NA,NA,1.5712,0.0018,32.2124,9.9142,3.6638,69.02
